Category	SubCategory	Not_a_Category	Title	ID	Data type	Description
Organization	Organizational lifecycle	1	dissolved, abolished or demolished	P576	Point in time	dissolved, abolished or demolished date: date or point in time on which the organisation was dissolved/disappeared or the building demolished
Organization	Sports Club	0	captain	P634	Item	captain: captain of this sports team
Organization	Organizational lifecycle	1	location of formation	P740	Item	location where a group or organization was formed
Organization	Generic Characteristics	1	separated from	P807	Item	subject was founded or started by separating from identified object
Organization	Sports Club	0	mascot	P822	Item	mascot character: mascot of an organization, e.g. a sports team or university
Organization	Organizational lifecycle	1	official website	P856	URL	official website: URL to the website of this item
Other	Languages	0	language regulatory body	P1018	Item	regulatory body of a language
Other	Biology	0	taxon rank	P105	Item	taxonomic rank: level in a taxonomic hierarchy
Other	Molecular biology	0	chromosome	P1057	Item	chromosome: chromosome on which an entity is localized
Other	Languages	0	number of speakers	P1098	Quantity	number of speakers: number of people who speak a language
Other	Ship	0	number of masts	P1099	Quantity	number of masts a ship has
Other	Chemistry	0	electronegativity	P1108	Quantity	electronegativity: tendency of an atom or functional group to attract electrons
Other	Unit	0	measured physical quantity	P111	Item	physical property expressed as number multiplied by a unit
Other	Chemistry	0	oxidation state	P1121	Quantity	oxidation number: no description
Other	Chemistry	0	chemical structure	P117	Commons media file	image of a representation of the structure for a chemical compound
Other	Biology	0	NCBI Taxonomy ID	P685	External identifier	Taxonomy database of the U.S. National Center for Biotechnology Information: identifer for a taxon in the Taxonomy Database by the National Center for Biotechnology Information
Other	Biology	0	mode of inheritance	P1199	Item	mode of inheritance: manner in which a particular genetic trait or disorder is passed from one generation to the next
Other	Aircraft	0	compressor type	P1221	Item	no description
Other	Languages	0	Linguist list code	P1232	External identifier	Linguist List: identifier for a language per Linguist list
Other	Languages	0	ABS ASCL code	P1251	External identifier	Australian Standard Classification of Languages ID for languages
Other	Languages	0	AUSTLANG code	P1252	External identifier	AUSTLANG: identifier for a language in the Australian Indigenous Languages Database
Other	Biology	0	regulates (molecular biology)	P128	Item	process regulated by a protein or RNA in molecular biology
Other	Biology	0	physically interacts with	P129	Item	physical entity that the subject interacts with
Other	Biology	0	WWF ecoregion code	P1294	External identifier	WWF ecoregion: identifier for ecoregions
Other	Chemistry	0	emissivity	P1295	Quantity	emissivity: ability of a substance to radiate thermal energy from its surface
Other	Languages	0	has dialect	P134	Item	dialect: dialects of this language (a single language may be linked to many dialects)
Other	Biology	0	AlgaeBase URL	P1348	URL	AlgaeBase: URL for the website AlgaeBase
Other	Molecular biology	0	ploidy	P1349	Item	ploidy: ploidy of a genome
Other	Biology	0	original spelling	P1353	String	original spelling of a scientific name
Other	Languages	0	Glottolog code	P1394	External identifier	Glottolog: identifier for a language in the Glottolog database
Other	Languages	0	Linguasphere code	P1396	String	identifier for a language from Linguasphere Observatory
Other	Biology	0	IUCN conservation status	P141	Item	conservation status: conservation status assigned by the International Union for Conservation of Nature
Other	Spacecraft	0	start point	P1427	Item	starting place of this journey, flight, voyage, trek, migration etc.
Other	Languages	0	WALS lect code	P1466	External identifier	language: identifier for a language
Other	Languages	0	WALS genus code	P1467	External identifier	genus: identifier for a language genus
Other	Languages	0	WALS family code	P1468	External identifier	language family: identifier for a language family
Other	Languages	0	Ethnologue.com code	P1627	External identifier	identifier for a language in ethnologue.com
Other	Aircraft	0	undercarriage	P1637	Item	landing gear: type of aircraft landing gear the item is equipped with
Other	Biology	0	parent taxon	P171	Item	taxon: closest parent taxon of the taxon in question
Other	Biology	0	Flora of North America taxon ID	P1727	External identifier	Flora of North America: identifier of a taxon in Flora of North America
Other	Biology	0	Bradley and Fletcher checklist number	P1743	External identifier	reference for a species in the Bradley and Fletcher checklist of British lepidoptera
Other	Biology	0	Agassiz checklist number	P1744	External identifier	Checklist of the Lepidoptera of the British Isles - Data: Reference for a species in the 2013 checklist of over 2,700 species British lepidoptera
Other	Biology	0	VASCAN ID	P1745	External identifier	Database of Vascular Plants of Canada: identifier in the Database of Vascular Plants of Canada
Other	Biology	0	ZooBank nomenclatural act	P1746	External identifier	ZooBank: identifier for nomenclatural act at ZooBank
Other	Biology	0	Flora of China ID	P1747	External identifier	Flora of China: identifier of a taxon in Flora of the People's Republic of China
Other	Products and Services	0	manufacturer	P176	Item	industrialist: manufacturer or producer of this product
Other	Products and Services	0	developer	P178	Item	software developer,æsoftware houseæandæprogrammer: organisation or person that developed this item
Other	Languages	0	ISO 639-5 code	P1798	External identifier	ISO 639-5 code: identifier for a language family peræISO 639-5
Other	Biology	0	taxon range map image	P181	Commons media file	rangeæandæhabitat: range map of a taxon
Other	Biology	0	endemic to	P183	Item	endemism: sole location or habitat type where the taxon lives
Other	Aircraft	0	takeoff and landing capability	P1956	Item	takeoff and landing: type of takeoff and landing the aircraft is designed to operate
Other	Languages	0	UNESCO language status	P1999	Item	Atlas of the World's Languages in DangeræandæUNESCO language status: no description
Other	Languages	0	Guthrie code	P2161	External identifier	Guthrie classification of Bantu languages: Guthrie code of a Bantu language
Other	Languages	0	ISO 639-1 code	P218	External identifier	ISO 639-1: two-letter identifier for a language or family of languages defined in ISO 639-1 standard
Other	Languages	0	ISO 639-2 code	P219	External identifier	ISO 639-2: identifier for a language or macrolanguage or language family language, defined in ISO 639-2 standard,æ3-letter technical or bibliographical æcode
Other	Languages	0	endangeredlanguages.com ID	P2192	External identifier	Catalogue of Endangered Languages: project of Alliance for Linguistic Diversity which provides some informations on endangered languages from all over the world
Other	Languages	0	ISO 639-3 code	P220	External identifier	ISO 639-3: identifier for a language defined in ISO 639-3
Other	Languages	0	ISO 639-6 code	P221	External identifier	ISO 639-6 code: identifier for a language per ISO 639-6
Other	Biology	0	taxon name	P225	String	taxon name: correct scientific name of a taxon (according to the reference given)
Other	Ship	0	beam	P2261	Quantity	beam: width of a ship at its widest point measured at its nominal waterline
Other	Ship	0	draft	P2262	Quantity	draft: depth below the water line to the bottom of a vessel's hull
Other	Chemistry	0	CAS Registry Number	P231	External identifier	CAS Registry Number: identifier for a chemical compound per CAS Registry
Other	Chemistry	0	EC no.	P232	External identifier	European Commission number: identifier for a chemical compound per EINECS or ELINCS
Other	Chemistry	0	canonical SMILES	P233	String	Simplified molecular input line entry specification: Simplified Molecular Input Line Entry Specification (canonical format)
Other	Chemistry	0	InChI	P234	External identifier	International Chemical Identifier: International Chemical Identifier
Other	Chemistry	0	InChIKey	P235	External identifier	InChIKey: A hashed version of the full standard InChI - designed to create an identifier that encodes structural information and a can also be practically used in web searching.
Other	Biology	0	FAO risk status	P2371	Item	FAO risk status: UN Food and Agriculture Organization designation of status for a domesticated breed
Other	Chemistry	0	element symbol	P246	String	chemical symbol: identifier for a chemical element
Other	Spacecraft	0	COSPAR ID	P247	External identifier	International Designator: international satellite designation, administered by the UN Committee on Space Research (COSPAR) and the US National Space Science Data Center (NSSDC)
Other	Languages	0	BPS language code	P2590	External identifier	language code in Indonesia issued by Statistics Indonesia
Other	Chemistry	0	ATC code	P267	External identifier	Anatomical Therapeutic Chemical Classification System: therapeutic chemical identification code per ATC
Other	Chemistry	0	chemical formula	P274	String	chemical formula: description of chemical compound based on element symbols
Other	Products and Services	0	programming language	P277	Item	programming language: the programming language(s) in which the software is developed
Other	Languages	0	GOST 7.75-97 code	P278	External identifier	identifier for a language according to GOST 7.75-97
Other	Languages	0	writing system	P282	Item	writing system: alphabet, character set or other system of writing used by subject language
Other	Products and Services	0	designed by	P287	Item	designer: designer of this item
Other	Ship	0	vessel class	P289	Item	vessel class: vessel classification (e.g. Nelson-class battleship)
Other	Animal breeds	0	EE breed number	P303	External identifier	breed identification number per the EE list of the breeds of fancy pigeons (ELFP)
Other	Languages	0	IETF language tag	P305	External identifier	IETF language tag: identifier for a language per the Internet Engineering Task Force
Other	Products and Services	0	operating system	P306	Item	operating system: operating system (OS) on which a software works or the OS installed on hardware
Other	Products and Services	0	practiced by	P3095	Item	type of agents that study this subject or work in this profession
Other	Products and Services	0	software version	P348	String	software versioningæandæstatus: version(s) of the software, current and past
Other	Molecular biology	0	Entrez Gene ID	P351	External identifier	Entrez: identifier for a gene per the NCBI Entrez database
Other	Molecular biology	0	UniProt ID	P352	External identifier	UniProt: identifier for a protein per the UniProt database.
Other	Molecular biology	0	HGNC gene symbol	P353	External identifier	identifier for a human gene
Other	Molecular biology	0	HGNC ID	P354	External identifier	HUGO Gene Nomenclature Committee: identifier for a gene from the HGNC database
Other	Spacecraft	0	space launch vehicle	P375	Item	launch vehicle: rocket or other vehicle for launching subject payload into outer space
Other	Spacecraft	0	SCN	P377	External identifier	Satellite Catalog Number: Satellite Catalog Number, 5-digit-number including leading zeros (e.g. '00266')
Other	Languages	0	Ethnologue language status	P3823	Item	Ethnologue language status: language status identifier by Ethnologue.com using EGIDS scale
Other	Products and Services	0	platform	P400	Item	computing platform: platform for which a work has been developed or released / specific platform version of a software developed
Other	Products and Services	0	game mode	P404	Item	game mode: available playing mode(s) in a video game
Other	Biology	0	taxon author	P405	Item	the author(s) that (optionally) may be cited with the scientific name
Other	Products and Services	0	software engine	P408	Item	software engine: software engine employed by the subject item
Other	Languages	0	Wikimedia language code	P424	String	"Wikimedia language code: identifier for a language or variant as used by Wikimedia projects. The single item that describes the language best should use it with the qualifier P794 (""as"") with value Q22283033 (""primary definition""). Languages without a code can use ""mis""."
Other	Products and Services	0	field of this occupation	P425	Item	field of work: activity corresponding to this occupation (use only for occupations - for people use Property:P101)
Other	Aircraft	0	aircraft registration	P426	String	aircraft registration: identifier assigned to an individual aircraft by civil aircraft registry
Other	Biology	0	taxonomic type	P427	Item	type: the type genus of this family (or subfamily, etc), or the type species of this genus (or subgenus, etc)
Other	Biology	0	botanist author abbreviation	P428	External identifier	author citation: standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)
Other	Ship	0	IMO ship number	P458	External identifier	International Maritime Organization: identifier for a ship per IMO
Other	Chemistry	0	determination method	P459	Item	scientific method: qualifier stating how a value has been determined
Other	Mineralogy	0	IMA Number, broad sense	P484	External identifier	identifier for a mineralæper the International Mineralogical Association -æCommission on New Minerals, Nomenclature and Classification (IMA-CNMNC)
Other	Currency	0	currency symbol description	P489	Item	Currency symbols: item with description of currency symbol
Other	Currency	0	ISO 4217 code	P498	External identifier	ISO 4217: identifier for a currency peræISO 4217
Other	Ship	0	home port	P504	Item	"home port: home port of the vessel (if different from ""ship registry""): For civilian ships, the primary port from which the ship operates. Port of registry _P532 should be listed in ""Ship registry"". For warships, this will be the ship's assigned naval base"
Other	Languages	0	ISO 15924 alpha-4 code	P506	External identifier	ISO 15924 alpha-4 code: identifier for a writing system
Other	Chemistry	0	phase of matter	P515	Item	state of matter: state or phase of the matter at which the measure was made (gas, liquid, solid... See talk page)
Other	Aircraft	0	powerplant	P516	Item	equipment or engine used to power the subject
Other	Aircraft	0	armament	P520	Item	equippable weapon item for the subject
Other	Spacecraft	0	type of orbit	P522	Item	orbit: orbit a satellite has around its central body
Other	Ship	0	port of registry	P532	Item	"ship's port of registry. This is generally painted on the ship's stern (for the ""home port"", see Property:P504)"
Other	Mineralogy	0	streak color	P534	Item	streak: color of a mineral or material when abraded
Other	Mineralogy	0	twinning	P537	Item	type of twins a crystal forms
Other	Mineralogy	0	fracturing	P538	Item	fracture: type of fracture a crystal or mineral forms
Other	Chemistry	0	crystal system	P556	Item	crystal system: type of crystal for mineralsæand/or for crystal coumpounds
Other	Mineralogy	0	crystal habit	P565	Item	crystal habit: the proportions of a crystal or mineral
Other	Biology	0	basionym	P566	Item	basionym: the legitimate, previously published name on which a new combination or name at new rank is based
Other	Mineralogy	0	IMA status and/or rank	P579	Item	status given to each mineral by the IMA (International Mineralogical Association)
Other	Ship	0	MMSI	P587	External identifier	Maritime Mobile Service Identity: Maritime Mobile Service Identity of a ship station
Other	Mineralogy	0	point group	P589	Item	point group: crystal subdivision
Other	Molecular biology	0	EC number	P591	String	Enzyme Commission number: classification scheme for enzymes
Other	Molecular biology	0	ChEMBL ID	P592	External identifier	ChEMBL: identifier from a chemical database of bioactive molecules with drug-like properties
Other	Molecular biology	0	HomoloGene ID	P593	String	HomoloGene: identifier in theæHomoloGene database
Other	Molecular biology	0	Ensembl Gene ID	P594	External identifier	gene: identifier for a gene as per the Ensembl (European Bioinformatics Institute and the Wellcome Trust Sanger Institute) database
Other	Molecular biology	0	Guide to Pharmacology Ligand ID	P595	External identifier	International Union of Basic and Clinical PharmacologyæandæIUPHAR/BPS Guide to PHARMACOLOGY: ligand identifier of the Guide to Pharmacology database
Other	Products and Services	0	Wine AppDB-ID	P600	External identifier	identifier for an application in the AppDB of WineHQ
Other	Aircraft	0	first flight	P606	Point in time	maiden flight: date or point in time on which aircraft first flew
Other	Ship	0	yard number	P617	String	yard number: identifier of a ship assigned by its builder (shipyard)
Other	Biology	0	IUCN-ID	P627	String	"IUCN Red List: identifier for a taxon in the International Union for Conservation of Nature database; source for conservation status (P141)"
Other	Chemistry	0	E number	P628	External identifier	E number: number for food additives that are legal in the European Union
Other	Chemistry	0	UNII	P652	External identifier	Unique Ingredient Identifier: identifier issued by the FDA / Unique Ingredient Identifier
Other	Chemistry	0	RTECS number	P657	External identifier	Registry of Toxic Effects of Chemical Substances: chemical identifier from the Registry of Toxic Effects of Chemical Substances
Other	Molecular biology	0	genomic assembly	P659	Item	specify the genome assembly on which the feature is placed
Other	Molecular biology	0	EC classification	P660	Item	the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule
Other	Chemistry	0	ChemSpider ID	P661	External identifier	ChemSpider: identifier in a free chemical database, owned by the Royal Society of Chemistry
Other	Chemistry	0	PubChem CID	P662	External identifier	identifier fromædatabase of chemical molecules and their activities in biological assays (Compound ID number)
Other	Molecular biology	0	KEGG ID	P665	External identifier	Kyoto Encyclopedia of Genes and Genomes: identifier fromædatabases dealing with genomes, enzymatic pathways, and biological chemicals
Other	Biology	0	incertae sedis	P678	Item	qualifier for P171 (parent taxon) to mark which intermediate ranks are incertae sedis
Other	Chemistry	0	ZVG number	P679	External identifier	identifier of GESTIS database
Other	Molecular biology	0	molecular function	P680	Item	represents gene ontology function annotations
Other	Molecular biology	0	cell component	P681	Item	cellular component: component of the cell in which this item is present
Other	Molecular biology	0	biological process	P682	Item	biological process: is involved in the biological process
Other	Chemistry	0	ChEBI ID	P683	External identifier	ChEBI: identifier fromædatabase and ontology of molecular entities focused on 'small' chemical compounds
Other	Molecular biology	0	ortholog	P684	Item	orthology: orthologous gene in another species (use with 'species' qualifier)
Other	Molecular biology	0	Gene Ontology ID	P686	External identifier	Gene Ontology: identifier in the Gene Ontology
Other	Biology	0	BHL Page ID	P687	External identifier	Biodiversity Heritage Library: identifier in the Biodiversity Heritage Library (BHL)
Other	Molecular biology	0	encodes	P688	Item	the product of a gene (protein or RNA)
Other	Mineralogy	0	space group	P690	Item	space group: symmetry classification for 2 and 3 dimensional patterns or crystals
Other	Molecular biology	0	Gene Atlas Image	P692	Commons media file	image showing the GeneAtlas expression pattern
Other	Biology	0	replaced synonym (for nom. nov.)	P694	Item	replaced synonym: previously published name on which a replacement name (avowed substitute, nomen novum) is based.
Other	Chemistry	0	UN number	P695	External identifier	UN number: four-digit numbers that identify hazardous substances, and articles (such as explosives, flammable liquids, toxic substances, etc.) in the framework of international transport
Other	Biology	0	ex taxon author	P697	Item	"person(s) whom the author(s) of a name credited for the idea, followed in an author citation by ""ex"" (via P405)"
Other	Chemistry	0	Kemler code	P700	External identifier	Kemler codes: code describing the hazards of a chemical in transport
Other	Molecular biology	0	encoded by	P702	Item	the gene that encodes some gene product
Other	Molecular biology	0	Ensembl Transcript ID	P704	External identifier	transcript ID issued by Ensembl database
Other	Molecular biology	0	Ensembl Protein ID	P705	External identifier	protein: identifier for a protein issued by Ensembl database
Other	Spacecraft	0	satellite bus	P707	Item	satellite bus: general model on which multiple-production satellite spacecraft is based
Other	Mineralogy	0	Strunz 8th edition (series ID, updated)	P711	String	mineral classification 8th edition, series identifier, silicate classification modified by Athena
Other	Mineralogy	0	Nickel-Strunz 9th edition (updated 2009)	P712	String	Nickel-Strunz Classification of Minerals (9 ed): mineral classification Nickel-Strunz version 9 (updated 2009), a PDF format file
Other	Mineralogy	0	Nickel-Strunz 10th (pending) edition	P713	String	Nickel_Strunz classification: mineral classification Nickel-Strunz version 10 (MinDat)
Other	Mineralogy	0	Dana 8th edition	P714	External identifier	Dana's System of Mineralogy: mineral classification Dana 8th edition
Other	Chemistry	0	Drugbank ID	P715	External identifier	DrugBank: identifier in the bioinformatics and cheminformatics database from the University of Alberta
Other	Spacecraft	0	JPL Small-Body Database ID	P716	External identifier	identifier in theæJPL Small-Body Database
Other	Spacecraft	0	Minor Planet Center observatory code	P717	External identifier	astronomical observatory: observational data for minor planets (asteroids) and comets
Other	Spacecraft	0	asteroid spectral type	P720	Item	asteroid spectral type: spectral classifications of asteroids based on spectral shape, color, and albedo
Other	Chemistry	0	GHS hazard statement	P728	String	globally harmonized system of assessment and labeling of chemicals
Other	Biology	0	ITIS TSN	P815	External identifier	Integrated Taxonomic Information System: Taxonomic Serial Number within the Integrated Taxonomic Information System
Other	Biology	0	Fossilworks ID	P842	External identifier	Fossilworks: identifier for fossil animals, plants, and microorganisms
Other	Biology	0	Global Biodiversity Information Facility ID	P846	External identifier	Global Biodiversity Information Facility: identifier in GBIF
Other	Biology	0	WoRMS-ID	P850	External identifier	World Register of Marine Species: identifier in the World Register of Marine Species
Other	Chemistry	0	phase point	P873	Item	phase point to describe critical point and triple point (see talk page for an example)
Other	Chemistry	0	UN class	P874	String	UN hazard classification code
Other	Chemistry	0	UN code classification	P875	String	UN code classification
Other	Chemistry	0	UN packaging group	P876	String	packaging code according to UN transportation rules
Other	Chemistry	0	GHS precautionary statements	P940	String	code referring to a phrase giving advice about the correct handling of chemical substances and mixtures
Other	Biology	0	Code of nomenclature	P944	Item	the Code that governs the scientific name of this taxon
Other	Biology	0	neurological function	P970	Item	the function of a neurological structure
Person	Generic	1	field of work	P101	Item	field of work: specialization of a person or organization, see P106 for the occupation
Person	Generic	1	member of political party	P102	Item	political party: the political party of which this politician is or has been a member
Person	Generic	1	native language	P103	Item	first language: language or languages a person has learned from birth
Person	Generic	1	honorific suffix	P1035	Item	honorific: word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person
Person	Generic	1	manager/director	P1037	Item	person who manages any kind of group
Person	Relationship	0	relative	P1038	Item	"kinship: family member (qualify with ""type of kinship"", P1039; for direct family member please use specific property)"
Person	Generic	1	occupation	P106	Item	"occupation: occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)"
Person	Generic	1	student of	P1066	Item	teacher: person who has taught this person
Person	Generic	1	employer	P108	Item	employer: organization for which the subject works or worked
Person	Generic	1	signature	P109	Commons media file	signature: image of a person's signature
Person	Generic	1	place of burial	P119	Item	burialæandægrave: location of grave, resting place, place of ash-scattering, etc, (e.g. town/city or cemetery) for a person or animal. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.
Person	Film	0	IMDb ID	P345	External identifier	Internet Movie Database: identifier from the Internet Movie Database (IMDb) with prefix ('tt', 'nm', 'ch', 'co', or 'ev')
Person	Generic	1	manner of death	P1196	Item	"manner of death: circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'. Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident"
Person	Film	0	AlloCin_ person ID	P1266	External identifier	AlloCin_: identifier for a person on the AlloCin_ film database
Person	Generic	1	filmography	P1283	Item	filmography: list of films a person has contributed to
Person	Relationship	0	godparent	P1290	Item	godparent: person who is the godparent of a given person
Person	Generic	1	instrument	P1303	Item	musical instrument: musical instrument that a person plays
Person	Generic	1	eye color	P1340	Item	eye color: color of the irises of a person's eyes
Person	Generic	1	participant of	P1344	Item	event: event a person or an organization was a participant in, inverse of P710 or P1923
Person	Sportspeople	0	ranking	P1352	Quantity	the subject's position in the specified rank
Person	Generic	1	convicted of	P1399	Item	crime a person was convicted of
Person	Generic	1	religion	P140	Item	religion: religion of a person, organization or religious building, or associated with this subject
Person	Generic	1	languages spoken, written or signed	P1412	Item	language proficiency: language(s) that a person speaks or writes, including the native language(s)
Person	Generic	1	affiliation	P1416	Item	organization that a person is affiliated with
Person	Generic	1	has pet	P1429	Item	pet: pet that a person owns
Person	Generic	1	image of grave	P1442	Commons media file	picture of a person or animal's grave, gravestone or tomb
Person	Generic	1	Commons Creator page	P1472	String	"name of the ""Creator"" page on Wikimedia Commons"
Person	Generic	1	birth name	P1477	Monolingual text	name at birth: full name of a person at birth, if different from their current, generally used name (samples: John Peter Doe for Joe Doe, Ann Smith for Ann Miller)
Person	Sportspeople	0	country for sport	P1532	Item	country a person or a team represents when playing a sport
Person	Generic	1	name in native language	P1559	Monolingual text	name: name of a person in their native language
Person	Generic	1	killed by	P157	Item	murderer: person who killed the subject
Person	Film	0	KMDb person ID	P1649	External identifier	Korean Movie Database: identifier for a person on the Korean Movie Database (KMDb)
Person	Generic	1	award received	P166	Item	award: award or recognition received by a person, organisation or creative work
Person	Generic	1	ethnic group	P172	Item	ethnic group: subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).
Person	Generic	1	doctoral advisor	P184	Item	doctoral advisor: person who supervised the doctorate or PhD thesis of the subject
Person	Generic	1	doctoral student	P185	Item	doctoral student(s) of a professor
Person	Generic	1	place of birth	P19	Item	place of birthæandæmaternity hospital: most specific known (e.g. city instead of country, or hospital instead of city)
Person	Generic	1	Project Gutenberg author ID	P1938	External identifier	Project Gutenberg: author identifier at Project Gutenberg
Person	Film	0	MovieMeter director ID	P1969	External identifier	MovieMeter: identifier for a person on the MovieMeter film database
Person	Film	0	Anime News Network person ID	P1982	External identifier	Anime News Network: identifier for a person on animenewsnetwork.com
Person	Generic	1	place of death	P20	Item	place of death: the most specific known (e.g. city instead of country, or hospital instead of city)
Person	Film	0	AllMovie artist ID	P2019	External identifier	AllMovie: identifier for a person on the AllMovie film database
Person	Generic	1	sex or gender	P21	Item	"sexæandægender: sexual identity of subject: male (Q6581097), female (Q6581072), intersex (Q1097630), transgender female (Q1052281), transgender male (Q2449503). Animals: male animal (Q44148), female animal (Q43445). Groups of same gender use ""subclass of"" (P279)"
Person	Film	0	SFDb person ID	P2168	External identifier	Swedish Film Database: identifier for a person on the Swedish Film Database (SFDb)
